x;y;z;vx;vy;vz;rpmFR;rpmFL;rpmRR;rpmRL;ThetaX;ThetaY;ThetaZ;alphaFR;alphaFL;speed;rpm;frame;gearRatio;steer;steer_input;omegaFL;omegaFR;omegaRL;omegaRR;latitude;longitude;height
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;80;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;81;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;82;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;83;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;84;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;85;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;86;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;87;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;88;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;89;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;90;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;91;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;92;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;93;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;94;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;95;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;96;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;97;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;98;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;99;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;100;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;101;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;102;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;103;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;104;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;105;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;106;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;107;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;108;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;109;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;110;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;111;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;112;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;113;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;114;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;115;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;116;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
